author_type,critic_name,review_date,review_text,score
Audience,,"Jul 4, 2025","Wonderfully entertaining and informative! Funny and heartwarming as well, loved it!",5/5.0
Audience,,"Jul 3, 2025","Definitely a great movie for kids and adults! Definitely some good lessons to learn from the movie as well. I wish they would have included what happened after the resurrection of Christ as well, but still a very solid film looking forward to seeing more of Angel studio films!",5/5.0
Audience,T.sopher,"Jul 2, 2025",Proud to follow Jesus!,5/5.0
Audience,,"Jun 29, 2025","Such a wonderful movie for the whole family! Reminds us all of what’s truly important. Highly recommend. Parents, you will probably cry!! So prep the tissues!",5/5.0
Audience,,"Jun 28, 2025",Unbelievably boring. C’mon,1/5.0
Audience,,"Jun 28, 2025",Sweet imagining of the greatest story ever told. The concept of Dickens telling his children is heart-warming.,4.5/5.0
Audience,,"Jun 26, 2025","Angel Studios pulls off another one.
Great movie. Beautiful version of this eternal story.
All ages can enjoy.",5/5.0
Audience,,"Jun 23, 2025",Boring story of the first zombie,0.5/5.0
Audience,,"Jun 16, 2025","I very much enjoyed this and it's an accurate telling. Appropriate for adults and children, whether they're believers or not. It's a gentle introduction to the story of Christ and it hits all the major milestones. So good we saw it twice.",5/5.0
Audience,,"Jun 15, 2025",This is beyond imagination,5/5.0
Audience,,"Jun 13, 2025","The King of Kings is kind of like Passion of the Christ for kids. That's something I have been hearing from others as well. It's got just enough action to keep kids of all ages interested, but it also has that deep, powerful message of Jesus to keep adults engaged. It can appeal to everyone.

The animation is pretty good for an Angel Studios movie. They keep getting better and better. The casting is out of sight, with the likes of people like Pierce Brosnan, Oscar Isaac and Jim Cummings. It's hard to believe all these big names signed on, makes me wonder how that process went and how it actually happened. I know there are obvious conflicts of beliefs going on there, but I know it's happened the other way around plenty of times, with Christians doing big Hollywood blockbusters. This reminds me of the excellent Christian kids movie that came out a while back called The Star. a loaded cast can make a big difference.

The unique twist here is that the story is told through Charles Dickens as he reads the story to his little boy. So, the movie tends to jump back and forth between the Dickens family and  the life of Jesus. Sometimes, they even blend together, which is interesting. The concept works quite well and introduces a little more entertainment value in the form of kids and  funny pet cat.

Overall, The King of Kings is an excellent animated Christian film that does what it needs to get the timeless message across to both kids and adults alike.",4/5.0
Audience,,"Jun 10, 2025","Great movie for everyone, especially for kids, lukewarm believers and nonbelievers alike.  It will certainly peak your curiosity about the King of Kings, Lord of Lords and Master of the Universe.  If you want to learn more about the Savior of the Universe, open you Bible and get to it!",5/5.0
Audience,,"Jun 10, 2025","I thought it was incredible and had good animation, I loved how the story was portrayed, congratulations.",5/5.0
Audience,,"Jun 9, 2025",I just finished watching it with my younger brother on the angel studios app and I loved it. Definitely a great watch for the whole family to sit down and enjoy.,5/5.0
Audience,genna.short,"Jun 8, 2025",Beautifully animated and charming. Biblically accurate to the life of Christ.,5/5.0
Audience,,"Jun 8, 2025","I wasn't expecting much from this, especially considering the actors who took part in it. Good thing too, because I was very disappointed. No wonder it received high criticism from hollyweird. It was nothing like the Bible, a bunch of interpretations of an easy life, whereas Jesus was constantly challenged and degraded by the masses. This makes His life look like a cakewalk. It was nothing of the sort! If you don't know the Bible, you would probably enjoy some of it, but for those who do, you may as well skip it.   If you are trying to introduce yourself or your family to God, I guess it's better than nothing  but almost every story has been altered.  So you may as well follow the Commandments, teaching the true Word.",0.5/5.0
Audience,,"Jun 6, 2025","The King Of Kings from this year is a remarkable, beautiful tale about Jesus told from the character of Charles Dickens. The animation at times looks real like the water and such and the film is a true reminder of our only hope, Jesus. I was disappointed to not see the disciples react to The Resurrection but the film still showed Jesus after being Ressurected. It is a truly inspiring film. 4 and a half out of 5.",4.5/5.0
Audience,,"Jun 6, 2025",Buena película para pasarla bien en familia,4.5/5.0
Audience,,"Jun 6, 2025","I was pleasantly surprised that this stuck to the Biblical account that most are familiar with. I found that the way it is presented makes it grab the attention of younger audiences. For Christians whose kids have been exposed to this story, there's nothing here that isn't in every other animated telling of Jesus' story, but I wish it'd been around when my kids were younger. 

For parents that like this, also highly recommend the ""Superbook"" series (the recent series rather than the 1970s-80s version).",5/5.0
Audience,Daniel Ramirez,"Jun 6, 2025",Believe in the Lord Jesus Christ and you will be saved! Confess with your mouth that Jesus is Lord and believe in your heart that God raised Him from the dead,5/5.0
Audience,,"Jun 5, 2025","It was cute, and had a good lesson on the importance of story telling in bringing children to Christ.  It also was somewhat forgettable.  I would encourage taking children, and it is not excrutiating for adults to watch.",4/5.0
Audience,,"Jun 3, 2025","King of Kings is a fantastic film that brings the story of Jesus to life in a way that’s perfect for children! Its engaging storytelling, vibrant visuals, and heartfelt moments make it an excellent tool for young viewers to understand and connect with Jesus’ life and teachings. Highly recommend for families!",5/5.0
Audience,,"Jun 3, 2025",I legit cry at the scenes reminding me of kindness,5/5.0
Audience,,"Jun 3, 2025","What is wrong with this picture,  well Christ is not white neither was his people! Just like the Egyptian etc. This is a cartoon of lies and racial Idolatry to the fullest. Every church I've been a part of tells me That Christ's color doesn't matter but they keep painting him Caucasian when the bible clearly says he was very very dark skinned.  This mess should be deleted.  When the real Christ returns and sees all the trash everyone responsible is going to pay the client
Ulimate price for this Blantant and obvious LIE.",0.5/5.0
Audience,,"Jun 3, 2025",Awesome movie. Very good for kids.  My kids clapped at the end.,5/5.0
Audience,Laura,"Jun 3, 2025",This movie was amazing!,5/5.0
Audience,Michael L,"Jun 2, 2025",Great film for the family,4.5/5.0
Audience,,"Jun 2, 2025","It was a really great movie highlighting very important events in Jesus life. I do agree with others here that Walter and Lila could be a distraction while telling the story but, overall an amazing movie for all ages.",5/5.0
Audience,,"Jun 1, 2025","So fabulous and ao incredibly accurate! I am 63, my husband 68, my Mom 82 and my sister took her 24 yr old son and we all loved it. I went twice and both times theater was full
 
Even looking for tickets was hard.

Can't say enough good things about it. Rotton Tomatoes rating is so wrong!",5/5.0
Audience,,"May 31, 2025",Great movie explains the grace and mercy that we have all been blessed whether you believe or not. In this time of males invading girls bathrooms and locker room. With all the targeting of children in every bit of entertainment out there. The movie covers the basics of Christ examples he's set for us and all we have to do is believe and say with our words that Christ died for our sins.,4.5/5.0
Audience,Veronica,"May 31, 2025",Loved the story line!,5/5.0
Audience,,"May 31, 2025",ANother push from the Evangelicals to brainwash children into believing a bunch of nonsense.,0.5/5.0
Audience,,"May 31, 2025",This movie is awesome and should be on everyone's must watch list.,5/5.0
Audience,,"May 31, 2025","Beautiful 

What a gem of a movie. Beautiful telling of the story of Jesus. Loved it and was proud to watch it with my son. Need more of this on the big screen",5/5.0
Audience,Gabby,"May 30, 2025","Amazing kids movie, even as an adult I really enjoyed seeing how they went about the story",5/5.0
Audience,,"May 30, 2025",leave children alone.,0.5/5.0
Audience,,"May 30, 2025","Absolutely meaningful, full of emotions and remember us that Yeshua/JesusChrist is alive❤️‍🔥.",5/5.0
Audience,,"May 28, 2025","Brainwashing forces all Christian’s to give Christian movies a positive score right? I’ve never seen it and never will, but I want to counter the 5 star religion reviews from people that have never seen it either.",0.5/5.0
Audience,,"May 28, 2025","Actually surprisingly good.

The animation quality is top notch and the style feels unique especially with some background art style.  The story telling element is pretty formulaic and all the stories are familiar to virtually all Christians and those who attended Sunday school.

Did I fall asleep a couple times?  Yes.  Would I recommend this to Christian families who would like to familiarize their kids to stories of Jesus without laborously reading the Bible together?   Also yes.",4/5.0
Audience,,"May 28, 2025",this is a work of art Walter is a little bit annoying though,4.5/5.0
Audience,Marisela Tovar,"May 27, 2025","My kids 10 & 7 yr old boys loved it!!! It was an excellent movie that portrayed Jesus story!!! It kept us hooked, wanted to know see more, whats next!!! We highly recommend to go watch!!! It was a great family movie to watch together for my kids it know & learn the story of Jesus!!!",5/5.0
Audience,,"May 27, 2025","I personally don't like to touch on religious movies, but I did go to see this one in the theater, so . . . anyway, I really enjoyed the parts in ancient times, with Jesus, but Walter, Charles, and the cat were an annoying distraction throughout the movie. Oscar Isaac's voice work was excellent. SO GOOD. This one really didn't do much for me. I wouldn't recommend this one for a bible story. Okay.",2.5/5.0
Audience,,"May 25, 2025","Just for TV or Amazon free watch material. I felt deceived as to the movie's quality & writing team. On reading the credits it turns out that the screen team & producers were largely Asian & NOT THE ERWIN BROS SKILL & TALENT. It seems they were presented the deal & put their name on the production credits?

It felt very musty religious, as in Catholic bent. And so as a result, it lacked biblical accuracy. It's really needed Messianic Rabbi/Pastoral advise. 

I really expected more & am disappointed. So, I can't recommend the movie even for kids. Although, the truth that Jesus is King of Kings is presented. It's religiosity might confuse the younger audience & new believers.",3/5.0
Audience,,"May 24, 2025",Fabulous well told true story,5/5.0
Audience,,"May 24, 2025","A horribly executed fairytale movie with clunky animation, insane dialogue and strange action sequences.",1/5.0
Audience,,"May 23, 2025",I fell asleep lmao not very entertaining,1/5.0
Audience,,"May 23, 2025","Pretty good. Not as good as Teenjus, but it was fine. I had hoped for a different ending this time but they didn’t deviate much.",3.5/5.0
Audience,,"May 23, 2025",Best movie I’ve ever seen!,5/5.0
Audience,Jean-Carlos,"May 23, 2025",the message of Jesus needs to be heard and they did it wonderfully,4.5/5.0
Audience,Tabitha,"May 22, 2025","It was like the Chosen for kids 
I know many kids who were touched powerfully by this movie!!",5/5.0
Audience,,"May 21, 2025",it looks ai generated,1/5.0
Audience,Logan,"May 21, 2025","Amazing, such a wonderful movie my family and kids absolutely loved it!",5/5.0
Audience,,"May 21, 2025",Superb!!!!  The kids want to see it again!! bring a tissue....,5/5.0
Audience,deb,"May 20, 2025",The story within the story was quite moving and lovingly shared...meant for families and those who seek to bring a strong message forward.,5/5.0
Audience,,"May 20, 2025",Best movie. Best film. Best Movie.,5/5.0
Audience,Taunya,"May 20, 2025",Everyone in the world needs to see this movie.,5/5.0
Audience,Taylor,"May 20, 2025","Amazing movie, with a great representation of the story Charles Dickens created for his kids and then actually shown a representation of a kid seeing Jesus. Very beautiful and I can only imagine how helpful this movie was for parents to show their kids.",5/5.0
Audience,Stephanie,"May 19, 2025",My 6 year old daughter and I both loved this movie. A well done story of Jesus for youngsters to enjoy!,5/5.0
Audience,Chad,"May 19, 2025",I probably should’ve watched the trailer before seeing the movie.,0.5/5.0
Audience,Jisela,"May 19, 2025",Great to have a cartoon film to introduce to my child and I liked how the bad scenes of him being tortured were not shown.,5/5.0
Audience,Mark,"May 19, 2025","Incredibly  Biblically accurate, & draws you to Christ & what he represents. An extremely well done movie that’s Biblically accurate, & credible & likable. Surprisingly likable, even though it uses an animated character characters with real human voices, in lieu of well-known human actors images on the screen. Somehow it works better than using real human images because it lets you identify Christ as you believe he could or should have looked like.",4.5/5.0
Audience,Tomeka,"May 18, 2025","The movie was excellent, like an animated Passion of the Christ.",5/5.0
Audience,cchristi,"May 18, 2025",Agreed with everything. Great retelling of the story of Jesus. Every child should watch it. My six year old got a little restless towards the end.,5/5.0
Audience,ke,"May 18, 2025",Well done . Story line was according to scripture,5/5.0
Audience,,"May 18, 2025",An absorbing film that the kids sat through to the end.  Very good.,5/5.0
Audience,brittany7108,"May 18, 2025",Great movie. Its a movie about the life of Jesus that is perfect for adults and children.,5/5.0
Audience,richard w,"May 18, 2025",Very powerful for children and a good review for grownups.,4/5.0
Audience,Matthew M,"May 18, 2025",a great and kid friendly way to introduce the horror that Jesus faced by those who wished to harm him while asking God to forgive us all.,5/5.0
Audience,,"May 17, 2025","Vapid and ludicrous. Why we Christians are forced to support faith-based ANYTHING simple because that label is slapped on a product is dumbfounding. This is poorly voiced, hardly acted and intimately unsatisfying.",0.5/5.0
Audience,,"May 17, 2025",Made me cry what a great film,5/5.0
Audience,First L,"May 17, 2025",It was well told and beautifully written!,5/5.0
Audience,Mrs Michel,"May 16, 2025","Wonderful film! My 6-year-old stayed engaged all the way through, and even my husband—who usually dozes off during movies watched it until the very end.",5/5.0
Audience,,"May 16, 2025","Finally a story for all ages that brings people to Christ. An absolute must watch, and I'm not the best example of a born again Christian.",5/5.0
Audience,Tina,"May 15, 2025",Captivating! A great movie for any age.. kept me very interested in watching the storyline compared to biblical writing. Loved it!,5/5.0
Audience,,"May 15, 2025","This animated film's visual symbolism challenges Christians’ critiques that it does not explicitly show Jesus as God. It does. Jesus' transition into Walter’s father signifies that He and the Father are one.

It was a heart-melting animation, and I will never forget the scene where Christ pushed Walter out of the water. Jesus saves people from death through faith in Him—and that means believing in what the entire Bible says.",5/5.0
Audience,James K,"May 15, 2025","The first minute of the move is a great but of context setting, and is fantastically done, introducing us to Charles Dickens, the storyteller for the rest of the film. 

The next nine minutes though, were extremely painful to watch. Dickens is shown as having adopted the ""gentle parenting"" technique popular today. Apart from not being a parenting technique that Dickens would have used, it results in egocentric children. And yet this parenting is presented positively.

Once the story became about Jesus, it went much better. There are some stylistic and theological things that I don't love, but the poor parenting at the beginning means I'll never watch this with my kids.",3/5.0
Audience,Melly,"May 14, 2025",Beyond gorgeous film. Teared up through most of it. Really touched my heart!,5/5.0
Audience,erika,"May 13, 2025",The King off Kings was a great movie enjoyed the cinema at the Aurora location,5/5.0
Audience,Obi,"May 12, 2025",Please see this movie,5/5.0
Audience,Mari,"May 12, 2025",Such a cute way to explain Jesus to young kids,5/5.0
Audience,Mary,"May 12, 2025","The unique storytelling of the storyline was interesting but not enough to engage me for the entire hour and 45 minutes of the film. Alas, I only made it through the first 20 minutes and fell asleep... My mom enjoyed it though!",1/5.0
Audience,Megan J,"May 12, 2025",We absolutely loved this movie! 10 out of 10!,5/5.0
Audience,Virginia,"May 12, 2025",Good interpretation and well done animation,5/5.0
Audience,Robert,"May 12, 2025","loved the animation, story,",5/5.0
Audience,Stephanie,"May 11, 2025",Must see for entire family!  Stayed true to details without being too graphic for little children.,5/5.0
Audience,Chris P.,"May 11, 2025","Amazing to watch Jesus story - my little ones loved it and it also touched my heart. I did shed a tear to two. Quite moving, already knowing the story of Jesus and growing up in the church.",5/5.0
Audience,Tara A,"May 11, 2025","It was enjoyable, family-friendly,  easy to follow. Nice and worth seeing in theaters",5/5.0
Audience,cheryl g,"May 11, 2025","Awesome movie, kids loved it!",5/5.0
Audience,Kaitlyn,"May 11, 2025",I would definitely recommend! Took my kids and they loved it!,5/5.0
Audience,ofni h,"May 11, 2025",Love the story told for children to understand,5/5.0
Audience,Sandra,"May 11, 2025",I cried. I LOVED this movie,5/5.0
Audience,Tsio,"May 10, 2025",Great story for the kids,5/5.0
Audience,Kaye R,"May 10, 2025",Great movie and stays true to the Bible,5/5.0
Audience,Juliette F,"May 10, 2025","This is literally the kid version of Passion of the Christ. 10/10, had me, an adult, crying like a baby! Definitely reminds you to keep childlike faith, always.",5/5.0
Audience,Jennah,"May 10, 2025",My children and I loved this! Such an amazing way to introduce God to your little ones!,5/5.0
Audience,,"May 9, 2025",I love this movie soo much!! Absolutely amazing movie. Good for the whole family!🥳🥳,5/5.0
Audience,Anthony,"May 9, 2025","Loved it, Jesus Christ King of Kings Lord of Lords!",5/5.0
Audience,Jeremy,"May 9, 2025",First 10 minutes is pretty bad but once you get into the Jesus part of the film it gets much better. Some incorrect use of scripture so beware of that. A beautiful looking film that is pretty decent with some scriptural and pacing flaws.,3.5/5.0
Audience,Smiley,"May 7, 2025",FANTASTIC family movie ... something for everyone from 7 to 70 (and beyond). Love it ... will certainly see it again.,4.5/5.0
Audience,Lin,"May 7, 2025",We went to see this movie as adults and thoroughly enjoyed it. It is a wonderful movie that shares biblical truth in a way kids can understand it. They did a great job on this. I can honestly say whatever your age group go see it.,5/5.0
Audience,Shari T,"May 7, 2025","The King of Kings  was a great movie.
Great film for all ages to watch and enjoy.
I take my mom to the movie theater today for Mother Day.",5/5.0
Audience,Edward,"May 7, 2025",You NEED to come see the movie!!!,5/5.0
Audience,Jonathan,"May 6, 2025",My son and I enjoyed this movie together. It is especially important to me that I have the biggest influence of him looking to Jesus Christ being his Savior and influencer.,5/5.0
Audience,Jasmila,"May 6, 2025","This movie was great, great movie for the kids and adults to see.",5/5.0
Audience,Derek G,"May 6, 2025","Held the attention of my 6 year old granddaughter througout, and then became the subject of good discussion on the way home.  Really well done.",5/5.0
Audience,CHANTELLE,"May 6, 2025",Loved how the story was broken down for kids in a way they could understand. There were parts that I thought were really cool and made me go wow. My kids said it made things clearer for them and they could see themselves in the story like the little boy. Great depiction of Jesuss sacrifice for us!,5/5.0
Audience,Moviefan,"May 5, 2025",Such a great movie! Would definitely see again,5/5.0
Audience,Carol H,"May 5, 2025","Good visuals, our kids really struggled with how long this movie was. It felt like it started over half way through. But overall still a good movie",3/5.0
Audience,Dorcas P,"May 5, 2025",I loved it!  My favorite part was when Jesus Christ found the cat for the little boy.  I thought it was well done and very creative.,5/5.0
Audience,Lucia,"May 5, 2025",it was a really good movie,5/5.0
Audience,Zach,"May 5, 2025","The first 15-20 minutes are a little slow with Jesus not being shown or referenced, but once the story of Jesus enters the movie the passing picks up. The story gives tales in Jesus life in a great way. The story comes off almost childrens sermon like. Great for kids! If you have little kids its a great way for family time! Highly recommend!",4.5/5.0
Audience,,"May 5, 2025",Well done ………………………..,4/5.0
Audience,Brian,"May 5, 2025",An excellent job of presenting the story of Jesus in a format that kids can absorb and enjoy!,5/5.0
Audience,,"May 5, 2025",This is the BEST animation movie I've ever watched. I strongly recommend this movie for everyone!,5/5.0
Audience,,"May 5, 2025","Fantastic adaptation, kept my kids engaged and stayed true to the Bible. A great family movie. The scene where the child is placed in the position of Peter, the lame man , the hungry and Jesus meeting out needs was a moving moment and stirring.",5/5.0
Audience,Todd,"May 5, 2025",What a Fantastic Movie!!!,5/5.0
Audience,Arlene P,"May 5, 2025",This movie was perfect for the young and the young at heart. It was compelling enough to capture an adult's heart and attention and yet told in a way that the youngest watcher could be in awe and understand!,5/5.0
Audience,Laura C,"May 5, 2025",There were several inadequacies in the narrative. Walter's character in the beginning was disrespectful toward his parents and the father was too inconsistent. The animation was first rate and the visuals stunning. I wish I could give it a better rating but the story controls and it didn't land with us.,3/5.0
Audience,,"May 5, 2025",This movie was phenomenal for adults and children to watch. The film goes over the lords journey and it hits important facts. This is a must-see!,5/5.0
Audience,,"May 4, 2025",The crucification of Jesus is a story that is told over and over and over. I don’t need to hear it another time. The movie lacks originality and feels dry.,2/5.0
Audience,Stephanie,"May 4, 2025",Great movie! Tells the story of Jesus' life in a way that children will be able to understand and I loved the added humor with the cat! Definitely helps keep the attention of little ones! My daughter (almost 11 years old) loved it and said she wants to see it again!,5/5.0
Audience,Carmel G,"May 4, 2025","Loved it, the grandchildren loved it as did the parents. Animation was great but I thought Jesus and his Disciples could have been drawn a little more handsome. Story line was perfect for young ones to understand.",4.5/5.0
Audience,Mrs Nico,"May 4, 2025",The story was excellent. The animation was phenomenal. Enjoyed by adults and children.,5/5.0
Audience,Ana D,"May 4, 2025",This is a must see for families regardless of your religious beliefs. Kids will love it and adults will cherish it.,5/5.0
Audience,Maria  R,"May 4, 2025",The opener to where our faith is. Great family movie.,5/5.0
Audience,Jaime,"May 4, 2025","Beautiful and fulfilling film, my kids and us  loved it. God is great. Jesus Christ is King of Kings, lord of Lords.",5/5.0
Audience,Carolina,"May 4, 2025",it was very biblical.  it caught the attention of the younger audience. mine as well.,5/5.0
Audience,Toni,"May 4, 2025","The most beautiful story of Jesus life. Angel Studios has created such an amazing movie that teaches us about Jesus, the history behind Him and our faith. A must see for everyone!",5/5.0
Audience,GenZ,"May 4, 2025","I loved the money, but I think it is a little too strong for small children. I laughed and cried throughout the movie. It is a great movie for Lent and Easter.",5/5.0
Audience,,"May 4, 2025","Absolute must see. At 68 years old, I thought it was wonderful.",5/5.0
Audience,Christina,"May 4, 2025",The characters are a little creepy looking . But very good story.,4.5/5.0
Audience,Pas. Michael,"May 3, 2025","was totally amazing, and my 9-year-old was so focused and immersed in the entire time.",5/5.0
Audience,Steven G,"May 3, 2025",Amazing story of the King of All Kings! Captivating and heartwarming. Should be shown in many more theaters with more time slots.,5/5.0
Audience,Jimmy Davis,"May 3, 2025",This movie was amazing!! It was very moving! It is a great Christian movie and it is spot on with the Gospels!! They didnt cover everything Jesus did. If so it could be like a 5-hour movie. I hope and pray that this movie reaches out to non-believers and that they come to know Christ someday. Jesus loves you!!!,5/5.0
Audience,Paul E,"May 3, 2025",Charming and meaningful entertainment for the whole family!,5/5.0
Audience,Lalliantluanga,"May 3, 2025",Fascinating and Captivating. You really are the True Kings of Kings,5/5.0
Audience,,"May 3, 2025",This movie was not that bad but the animation looked weird for me it was a alright movie,4.5/5.0
Audience,Janet M,"May 3, 2025","We really enjoyed this film—both parents and our kids (ages 3 and 6). I especially appreciated how the story invites children directly into the life of Jesus, making it so much more relatable and engaging for young viewers. It brought the message to life in a gentle, meaningful way that resonated with the whole family.",5/5.0
Audience,Shay L,"May 3, 2025","The story was woven together so creatively, yet with all the right elements of truth, compassion,  love and Immanuel.  Gods love story was easy to understand at the most basic level,  and that was it's strong lure.",5/5.0
Audience,Damaris,"May 3, 2025","100 % recommended, great for all ages",5/5.0
Audience,Anthony,"May 3, 2025",I like it because even kids can understand it.,5/5.0
Audience,,"May 2, 2025",i like it but not the ai slop,2.5/5.0
Audience,Sheldon,"May 2, 2025",Absolutely horrendous. Poorly written slop,0.5/5.0
Audience,Jessica B.,"May 2, 2025",This was one of the best movies I have seen in a while.  It was a creative way of making the audience feel they were also invited in to the Christ's invitation of salvation as the child gained his understanding of what Jesus no longer being on the cross and His empty tomb all meant. It was a beautiful and moving christian family film.,5/5.0
Audience,Kim L,"May 2, 2025","Beautiful message of Jesus, the son of God and well done for children. The animation is gorgeous and I wouldn't change a thing. If you are unaware of the message being delivered by Charles Dickens as the narrator and he and his family and youngest son is amazingly inner twined in the story to help the children connect to the message.",5/5.0
Audience,,"May 2, 2025",I thought it was wonderful from start to finish.,4.5/5.0
